Candidate,Criminal Cases,Education,ID,Party,Total Assets,Total Liabilities,ConstituencyID
Donka Leelavathi,0,5th Pass,9127,IND,50000,0,23
Guttula Annapurna Seshagiri Rao,0,5th Pass,9126,IND,0,0,23
Jalluri Venkateswarlu,0,Graduate Professional,8200,IND,141000,0,23
Kola Venkata Prasad Varma,0,10th Pass,9118,RJD,1000,0,23
Kunche Ramadas,0,Post Graduate,8932,IND,202000,0,23
Mangapati Pallam Raju Mallipudi,0,Post Graduate,8934,INC,113518442,3330358,23
Merla Bhavani Sankara Prasad,0,5th Pass,9128,IND,2700000,950000,23
Motha Sarada,0,10th Pass,9120,Republican Party of India (Khobragade),0,0,23
Pepakayala Rajendra,0,Graduate,9117,IND,5110000,800000,23
Prabhakara Rao Madiki,0,Post Graduate,8199,IND,1350000,112550,23
Ratna Kumar Muthabathula,0,12th Pass,9123,BSP,154000,0,23
Rokkam Dayakar,1,Post Graduate,9121,Republican Paksha (Khoripa),1500000,0,23
Srinivas Dangeti,0,Graduate Professional,8933,AAP,14271000,0,23
Sunil Kumar Chalamalasetty,0,Post Graduate,8196,Yuvajana Sramika Rythu Congress Party,101992671,18930000,23
Tekumudi Venkata Rao,0,Literate,9124,Pyramid Party of India,1599555,428000,23
Thota Venkata Narasimham,0,Graduate,8194,TDP,17495976,120000,23
Tummalapalli Satya Ramakrishna,1,Graduate,9122,Jai Samaikyandhra Party,16322137,1282773,23
Venkata Appala Narasimha Rao Karra,0,Graduate Professional,8931,IND,3041950,314257,23
Vijamalla Chitti Babu,1,Graduate,9125,IND,45000,0,23
Arjunbhai Versingbhai Rathva,0,Post Graduate,7329,AAP,3157543,1135000,131
Naranbhai Jemlabhai Rathwa,0,Post Graduate,4589,INC,40904985,850000,131
Rathwa Ramsingbhai Patalbhai,0,Post Graduate,4588,BJP,39769675,9763903,131
Vasava Prafulbhai Devjibhai,0,Doctorate,7328,JD(U),160000,0,131
Arjunlal Meena,0,Post Graduate,2449,BJP,17049951,8195866,356
Gotam Lal Meena,1,5th Pass,2448,CPI(ML)L,141876,0,356
Laxman Bhil,0,5th Pass,2452,BSP,277900,0,356
Laxmilal Gameti,0,Literate,2454,Socialist Party (India),255700,0,356
Meghraj Tawar,0,10th Pass,2447,CPI,1405000,0,356
Prabhulal Meena,0,8th Pass,2451,Bahujan Mukti Party,595000,50000,356
Raghuvir Singh,0,Graduate Professional,2450,INC,26644500,3527476,356
Velaram,1,Doctorate,2453,AAP,10272231,0,356
Arka Keshari Deo,0,Graduate,815,BJD,69822063,831688,313
Baikuntha Dhangada Majhi,0,10th Pass,223,Kalinga Sena,20000,0,313
Balaram Hota,0,Others,1152,CPI(ML)L,1150,0,313
Bhakta Charan Das,1,Graduate Professional,814,INC,11516583,3875982,313
Bighna Raj Panda,1,12th Pass,809,Samruddha Odisha,764550,58637,313
Chhabilal Nial,0,Graduate Professional,1153,Ambedkarite Party of India,580758,0,313
Daitary Pradhan,2,Post Graduate,1154,Aama Odisha Party,47792839,367818,313
Parameswar Kand,1,12th Pass,810,Samata Kranti Dal,2270000,100000,313
Pradipta Kumar Naik,0,Graduate Professional,813,BJP,42970197,0,313
Rajendra Kumar Mund,0,Post Graduate,1155,IND,32280000,48000,313
Sahadev Jal,0,Graduate,1156,Bahujan Mukti Party,1199800,0,313
Saroj Kumar Naik,0,Graduate,1157,BSP,5880000,120000,313
Satya Narayan Mahar,1,Graduate,811,AAP,32332,0,313
Siba Hati,0,8th Pass,1158,SP,1474000,100000,313
Sunil Chandra Naik,0,Graduate Professional,812,Odisha Jan Morcha,2900000,0,313
Armerington Kharshiing,0,Not Given,537,AAP,10547837,211214,299
Denis Siangshai,0,Graduate,774,IND,1287025457,0,299
Ivoryna Shylla,0,10th Pass,1057,IND,23050000,0,299
Paul Lyngdoh,0,Post Graduate,119,UDP,17371929,0,299
Prechard B. M. Basaiawmoit,0,12th Pass,652,IND,39194012,0,299
Richard D. Shabong,0,12th Pass,539,CPI,1328273,0,299
Shibun Lyngdoh,0,Graduate,651,BJP,75894099,7061466,299
Vincent H. Pala,0,Graduate Professional,538,INC,497108058,0,299
